channel,Precision (anomaly),Recall (anomaly),FDR,Fβ-score
R,0.12,0.42857142857142855,0.88,0.2830188679245283
G,0.03088803088803089,0.7843137254901961,0.9691119691119691,0.133422281521014
T,0.13982521847690388,0.5925925925925926,0.8601747815230961,0.3596660244059088
S,0.13245033112582782,0.8,0.8675496688741722,0.398406374501992
A,0.051893408134642355,0.13309352517985612,0.9481065918653576,0.10136986301369863
F,0.1431451612903226,0.43558282208588955,0.8568548387096774,0.30923344947735193
D,0.29209183673469385,0.6337638376383764,0.7079081632653061,0.5136064593301436
E,0.12648524338827136,0.5463576158940397,0.8735147566117286,0.3283582089552239
B,0.10344827586206896,0.5,0.896551724137931,0.2830188679245283
P,0.1981242672919109,0.5728813559322034,0.8018757327080891,0.41564190850959176
