channel,Precision (anomaly),Recall (anomaly),FDR,Fβ-score
R,0.12,0.42857142857142855,0.88,0.2830188679245283
G,0.015235457063711912,0.21568627450980393,0.9847645429362881,0.05939524838012959
T,0.16494845360824742,0.3386243386243386,0.8350515463917526,0.27972027972027974
S,0.13636363636363635,0.6,0.8636363636363636,0.35714285714285715
A,0.01798941798941799,0.030575539568345324,0.982010582010582,0.02682234143262859
F,0.027522935779816515,0.03680981595092025,0.9724770642201834,0.034482758620689655
D,0.24147529575504523,0.32011070110701106,0.7585247042449548,0.3005369825047636
E,0.08748481166464156,0.23841059602649006,0.9125151883353584,0.17725258493353027
B,0.10344827586206896,0.5,0.896551724137931,0.2830188679245283
P,0.18962722852512157,0.39661016949152544,0.8103727714748784,0.32554257095158595
