channel,Precision (anomaly),Recall (anomaly),FDR,Fβ-score
R,0.2727272727272727,0.42857142857142855,0.7272727272727273,0.38461538461538464
G,0.04154302670623145,0.5490196078431373,0.9584569732937686,0.15945330296127563
T,0.13402061855670103,0.2751322751322751,0.865979381443299,0.22727272727272727
S,0.25675675675675674,0.76,0.7432432432432432,0.5459770114942529
A,0.041501976284584984,0.07553956834532374,0.958498023715415,0.06489493201483312
F,0.18489583333333334,0.43558282208588955,0.8151041666666666,0.34266409266409265
D,0.2616562282533055,0.34686346863468637,0.7383437717466945,0.32565390611467177
E,0.1543134872417983,0.4205298013245033,0.8456865127582017,0.3126538650910881
B,1.0,0.3333333333333333,0.0,0.38461538461538464
P,0.24959481361426256,0.5220338983050847,0.7504051863857375,0.4284919309961046
