channel,Precision (anomaly),Recall (anomaly),FDR,Fβ-score
R,0.12,0.42857142857142855,0.88,0.2830188679245283
G,0.044733044733044736,0.6078431372549019,0.9552669552669553,0.17279821627647715
T,0.10051546391752578,0.20634920634920634,0.8994845360824743,0.17045454545454544
S,0.21176470588235294,0.72,0.788235294117647,0.4864864864864865
A,0.06126482213438735,0.11151079136690648,0.9387351778656127,0.0957972805933251
F,0.1015625,0.2392638036809816,0.8984375,0.18822393822393824
D,0.2797494780793319,0.37084870848708484,0.7202505219206681,0.3481725272821756
E,0.15674362089914945,0.4271523178807947,0.8432563791008505,0.3175775480059084
B,1.0,0.3333333333333333,0.0,0.38461538461538464
P,0.2606741573033708,0.39322033898305087,0.7393258426966292,0.3569230769230769
